architecture,cfo_compensate,roc_auc_mean,f1_mean,precision_mean,recall_mean,accuracy_mean,roc_auc_std,f1_std,precision_std,recall_std,accuracy_std
CNN,False,0.6470669709569964,0.28774982626435214,0.5009835148095678,0.20221980668130488,0.8008918852487797,0.01793262993138406,0.03884381415663512,0.04162186134856824,0.03179307795111104,0.009077705118612523
CNN,True,0.6229479956783202,0.2370658786460121,0.4283134211906325,0.16411023477054984,0.7891077636152956,0.01263038515345895,0.020276845083923523,0.0413307138939456,0.01432517938440485,0.0071014929489322115
KAN,False,0.731888144364908,0.44019195360147145,0.6231827207558617,0.3408034026921777,0.8281540784437655,0.025695724164586292,0.054715887793744894,0.05528406160060986,0.049471461870150696,0.0060471274715365965
KAN,True,0.6710424294308657,0.3584441235628283,0.5550508032122543,0.26515062693372793,0.8118683942554163,0.030783766000541474,0.05617362614452545,0.06383159190786783,0.04719816721403459,0.004810967111251494
MKAN,False,0.6986687772664304,0.38161383982564845,0.5762415764975894,0.2853862278423807,0.8154429579690298,0.011866823965984308,0.0236888414964068,0.03662604651709765,0.018464556063699757,0.0051119891785935566
MKAN,True,0.6075237893805419,0.22789219152108792,0.4172476897499514,0.156861361886402,0.788243969240493,0.022665820871981147,0.03596797332885265,0.055396523022809376,0.026340806285288672,0.007783491524878037
Polar MKAN,False,0.6721256545821416,0.315149814670135,0.5185478228153405,0.226381425112822,0.8035745637136136,0.009655861362547043,0.0211556429725817,0.033180222486669825,0.015645546872244575,0.006959829369851021
Polar MKAN,True,0.6132563111042344,0.2249418598049539,0.4193754082450799,0.15373630647529649,0.7885951051652095,0.01920088721543508,0.028413192058059707,0.04933360825891241,0.020097784640969223,0.008093834638238734
Polar KAN,False,0.6630531441197818,0.3085982760806142,0.5048062615812534,0.22235482995546288,0.8016362934091787,0.018321598883052174,0.04016960010583397,0.05337732366640746,0.0314739940270992,0.006247867590373891
Polar KAN,True,0.6223945556231476,0.24462084083688182,0.4439803208469443,0.1691381122835786,0.7927174409213806,0.023745065517933154,0.04867169670312018,0.06550208946124729,0.037173957040562575,0.006181643989203018
Polar CNN,False,0.6166827437289328,0.24098389187409755,0.458542481978686,0.16346720922133703,0.7943748024860423,0.010842036936466017,0.01988191286346099,0.030340036645912838,0.014498750921725376,0.009504646941229433
Polar CNN,True,0.6086263035151991,0.22631996036227253,0.4309698732748787,0.15348856168057026,0.7902735348853541,0.009589349846296039,0.022591897983740523,0.05107282306847305,0.01438665610598999,0.009009887825152151
