architecture,cfo_compensate,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std
CNN,False,0.6209923333333334,0.021952743549539598,0.24836865278313872,0.03606211016993373,0.7669076866383964,0.032284112257766936,0.14859999999999998,0.024532065184615464,0.44006249999999997,0.014026419763749014
CNN,True,0.5105089166666665,0.017453945838014927,0.16077551181652733,0.016973574680876923,0.6533291834640549,0.03408237415723382,0.09179999999999999,0.010778579580713673,0.401875,0.0059365861869895885
KAN,False,0.7837354999999999,0.0420626764267208,0.6289767304538693,0.08711483446699496,0.8653022313218889,0.019639812695350554,0.4997,0.09380363650851825,0.6394374999999999,0.053916449316924096
KAN,True,0.510757,0.011075560113194617,0.17174020754407732,0.013998319129207773,0.6505662161407073,0.04441732689567488,0.099,0.008666666666666666,0.4035,0.008287373260301214
MKAN,False,0.7441679999999999,0.04555416679488874,0.532875047818923,0.08249876192284782,0.8605635891492722,0.023559566620888307,0.38980000000000004,0.08150773651078229,0.5802499999999998,0.04874572630839892
MKAN,True,0.4983198333333333,0.013757794467541325,0.20579585718925256,0.019632792417232203,0.632015201645253,0.019039254206194404,0.12310000000000001,0.013884043599278514,0.40718750000000004,0.006307031459675252
Polar MKAN,False,0.7306374166666667,0.03638763290760783,0.4590557738983369,0.04625660396970767,0.867893657605274,0.028637478457611838,0.31279999999999997,0.03930168218056604,0.54125,0.02715055759607485
Polar MKAN,True,0.4975128333333333,0.011184502886351935,0.15510844290732323,0.009529711502121972,0.6495273078251952,0.03195852263604175,0.08809999999999998,0.0058204619900638285,0.40031249999999996,0.005122204522143438
Polar KAN,False,0.5633741666666666,0.05274312976587567,0.23237617885488399,0.07485850443420547,0.7076403583656219,0.07699106057521392,0.1405,0.05153477790127104,0.4291875,0.03250540820386663
Polar KAN,True,0.5049201666666667,0.017441423419407666,0.14963284756657097,0.02286421015499435,0.6403625515436857,0.03906262867831861,0.0849,0.014208369990177544,0.39843750000000006,0.007331735147819906
Polar CNN,False,0.5359144166666667,0.01621838707543706,0.20577647472349003,0.021974771005349142,0.6924865796967135,0.03140977023613405,0.121,0.014552586635295382,0.4171875,0.008825320658322965
Polar CNN,True,0.5044776666666667,0.008790618287500785,0.16800089264172077,0.023313192133493456,0.6409161658978655,0.0354221223398972,0.0969,0.015249408003081446,0.4016875,0.007911456618937714
