architecture,cfo_compensate,seed,roc_auc,f1,precision,recall,accuracy
CNN,False,0,0.6544700000000001,0.29449838187702265,0.7711864406779662,0.182,0.455
CNN,False,1,0.6449158333333334,0.2348936170212766,0.7885714285714286,0.138,0.438125
CNN,False,2,0.6092708333333333,0.24979044425817268,0.772020725388601,0.149,0.440625
CNN,False,3,0.6379925,0.2885085574572127,0.7797356828193832,0.177,0.454375
CNN,False,4,0.6238808333333333,0.2562396006655574,0.7623762376237624,0.154,0.44125
CNN,False,5,0.6321858333333333,0.26955074875207985,0.801980198019802,0.162,0.45125
CNN,False,6,0.5939066666666666,0.23857868020304568,0.7747252747252747,0.141,0.4375
CNN,False,7,0.5860516666666667,0.16695957820738136,0.6884057971014492,0.095,0.4075
CNN,False,8,0.6103741666666667,0.25774058577405856,0.7897435897435897,0.154,0.445625
CNN,False,9,0.6168750000000001,0.22692633361558,0.7403314917127072,0.134,0.429375
CNN,True,0,0.5548466666666667,0.15985790408525755,0.7142857142857143,0.09,0.40875
CNN,True,1,0.5074666666666667,0.17117903930131004,0.6758620689655173,0.098,0.406875
CNN,True,2,0.5177658333333333,0.13854351687388988,0.6190476190476191,0.078,0.39375
CNN,True,3,0.5079933333333334,0.1701388888888889,0.6447368421052632,0.098,0.4025
CNN,True,4,0.5025808333333333,0.17406440382941687,0.6711409395973155,0.1,0.406875
CNN,True,5,0.49444499999999997,0.12578616352201258,0.6194690265486725,0.07,0.391875
CNN,True,6,0.49422,0.1625441696113074,0.696969696969697,0.092,0.4075
CNN,True,7,0.5000275,0.1618798955613577,0.6241610738255033,0.093,0.398125
CNN,True,8,0.5124125,0.16069868995633188,0.6344827586206897,0.092,0.399375
CNN,True,9,0.5133308333333333,0.18306244653550044,0.6331360946745562,0.107,0.403125
KAN,False,0,0.8130783333333333,0.7051129607609988,0.8695014662756598,0.593,0.69
KAN,False,1,0.7982341666666667,0.6403564608529599,0.8809106830122592,0.503,0.646875
KAN,False,2,0.8220025,0.6264441591784339,0.8745519713261649,0.488,0.63625
KAN,False,3,0.7866033333333333,0.6955475330926595,0.8731117824773413,0.578,0.68375
KAN,False,4,0.7528325,0.6147077309868008,0.8274111675126904,0.489,0.616875
KAN,False,5,0.7967933333333332,0.656308266003729,0.8669950738916257,0.528,0.654375
KAN,False,6,0.6784683333333332,0.4093655589123867,0.8364197530864198,0.271,0.51125
KAN,False,7,0.7836866666666666,0.5759787657597877,0.8560157790927022,0.434,0.600625
KAN,False,8,0.78793,0.6906211936662606,0.883177570093458,0.567,0.6825
KAN,False,9,0.8177258333333333,0.6753246753246753,0.8849270664505673,0.546,0.671875
KAN,True,0,0.5306191666666666,0.158311345646438,0.656934306569343,0.09,0.401875
KAN,True,1,0.5114866666666666,0.1934931506849315,0.6726190476190477,0.113,0.41125
KAN,True,2,0.5153058333333334,0.17657342657342656,0.7013888888888888,0.101,0.41125
KAN,True,3,0.4979583333333334,0.1643598615916955,0.6089743589743589,0.095,0.39625
KAN,True,4,0.5103808333333333,0.17152658662092624,0.6024096385542169,0.1,0.39625
KAN,True,5,0.5172066666666667,0.16151202749140894,0.573170731707317,0.094,0.39
KAN,True,6,0.49555166666666667,0.18245004344048654,0.695364238410596,0.105,0.411875
KAN,True,7,0.5150975,0.1821335646140503,0.6862745098039216,0.105,0.410625
KAN,True,8,0.49687749999999997,0.14664310954063603,0.6287878787878788,0.083,0.39625
KAN,True,9,0.5170858333333334,0.18039895923677363,0.6797385620915033,0.104,0.409375
MKAN,False,0,0.6744983333333333,0.4098728496634256,0.8130563798219584,0.274,0.506875
MKAN,False,1,0.7798550000000001,0.6233097231165486,0.8752260397830018,0.484,0.634375
