architecture,cfo_compensate,roc_auc_mean,f1_mean,precision_mean,recall_mean,accuracy_mean,roc_auc_std,f1_std,precision_std,recall_std,accuracy_std
CNN,False,0.7100355761054422,0.36811507326147364,0.6666781195583631,0.25526785714285716,0.7826116071428572,0.02458085437984129,0.05439732816109956,0.040966264250325284,0.045793301549863545,0.011383906687654013
CNN,True,0.6676818890837585,0.3043511095695009,0.6149944864018779,0.2027678571428571,0.7695089285714286,0.02369072617793814,0.04356043315442676,0.03949876986802228,0.03435180107716184,0.008506953844457777
KAN,False,0.8977340654230441,0.7401006495097894,0.8385948432055402,0.6671428571428571,0.8852901785714286,0.03550486024579805,0.07013975099045666,0.0198386384828344,0.10288000427980282,0.025791761153500813
KAN,True,0.761788887117347,0.5217074099026914,0.755245156528342,0.40187500000000004,0.8188281249999999,0.046343299246913924,0.07635335366658282,0.03356091363610732,0.08260453527167248,0.020486338520286983
MKAN,False,0.7970705303996598,0.612743462454852,0.7944506908494178,0.5026785714285714,0.8440624999999999,0.0579542805240439,0.0788914380285751,0.03217169025946158,0.09146492371618839,0.023112974327645648
MKAN,True,0.6651114131590137,0.3402994617534411,0.6413427841718381,0.23316964285714287,0.776875,0.05113080546219048,0.06811149832530956,0.05306827323767493,0.05693452186480966,0.014044454124151914
Polar MKAN,False,0.7881756098533164,0.5258808472824715,0.7548894195671719,0.40794642857142854,0.8202566964285715,0.04787666343852829,0.09140225399655104,0.04422302200498526,0.09696794422195744,0.02455568933641794
Polar MKAN,True,0.6651330901892006,0.3077958809549935,0.6114667721977656,0.20763392857142857,0.7705580357142856,0.045749209846641534,0.07737762377342632,0.06244293588376833,0.06401485286335779,0.015962755724263263
Polar KAN,False,0.827589932769983,0.5982688223414441,0.7911275670031731,0.48441964285714284,0.8398325892857142,0.045932483028674795,0.07059923318516881,0.026573034366364587,0.08405635930837459,0.021051471116875213
Polar KAN,True,0.7101643401892006,0.39879931856216433,0.6764726339149467,0.28950892857142857,0.7909598214285715,0.05768729854156384,0.12396841156891296,0.07395343594718325,0.11825011427001855,0.029565311449455695
Polar CNN,False,0.64764891448767,0.27372197160584744,0.5821912987279884,0.17991071428571428,0.7638169642857143,0.029368255246955948,0.05894795861907897,0.05634670530541667,0.04572849597775719,0.011257504406075364
Polar CNN,True,0.626430184417517,0.2192355454994962,0.5155901229718565,0.1403125,0.7539732142857143,0.029438317308951682,0.06705632488884125,0.07660291805903535,0.049447259672889494,0.012233568412760583
